split,index,image_id
train,0,PLATELET_137525
train,1,PMY_104042
train,2,BNE_88499
train,3,BNE_658440
train,4,PLATELET_371189
train,5,SNE_541286
train,6,ERB_23214
train,7,ERB_631080
train,8,PLATELET_822485
train,9,ERB_770030
train,10,EO_390478
train,11,EO_981616
train,12,BNE_866357
train,13,PLATELET_134295
train,14,SNE_196142
train,15,PMY_689948
train,16,PLATELET_686662
train,17,ERB_634657
train,18,BNE_162202
train,19,EO_195564
train,20,SNE_209892
train,21,EO_938284
train,22,MO_804611
train,23,MO_209550
train,24,PLATELET_33965
train,25,PLATELET_27731
train,26,BA_968993
train,27,SNE_402972
train,28,LY_530482
train,29,MO_352633
train,30,MMY_71180
train,31,ERB_972913
train,32,EO_259488
train,33,EO_537580
train,34,BNE_477145
train,35,SNE_648057
train,36,EO_729465
train,37,LY_875657
train,38,BA_193863
train,39,LY_456457
train,40,BNE_189402
train,41,MY_868123
train,42,BA_221057
train,43,EO_969910
train,44,EO_713515
train,45,MO_777403
train,46,MY_102304
train,47,BA_406945
train,48,PMY_956283
train,49,MO_425760
train,50,EO_759458
train,51,PLATELET_443069
train,52,LY_131013
train,53,LY_778709
train,54,EO_454188
train,55,PLATELET_169281
train,56,SNE_759474
train,57,SNE_640102
train,58,ERB_43309
train,59,EO_439200
train,60,BNE_661686
train,61,LY_249379
train,62,LY_179230
train,63,PMY_458246
train,64,MO_800958
train,65,EO_338378
train,66,PMY_124143
train,67,EO_464387
train,68,EO_52578
train,69,PLATELET_877257
train,70,EO_309740
train,71,PLATELET_489665
train,72,PMY_816425
train,73,PMY_359716
train,74,EO_912883
train,75,EO_355269
train,76,MO_627871
train,77,IG_630972
train,78,SNE_963561
train,79,BA_695712
train,80,SNE_279281
train,81,BA_99625
train,82,MMY_388536
train,83,PLATELET_676449
train,84,MMY_793007
train,85,PMY_132518
train,86,BA_389328
train,87,EO_270748
train,88,PMY_880603
train,89,LY_480700
train,90,PLATELET_765897
train,91,EO_87992
train,92,BA_63104
train,93,SNE_944030
train,94,SNE_881501
train,95,PLATELET_248701
train,96,ERB_55146
train,97,SNE_905720
train,98,MMY_676553
train,99,MO_993110
train,100,MY_826696
train,101,BNE_742515
train,102,SNE_700097
train,103,BNE_38919
train,104,MO_853712
train,105,PLATELET_471856
train,106,PLATELET_194627
train,107,MMY_70789
train,108,BNE_411518
train,109,LY_273042
train,110,MO_707140
train,111,MY_613909
train,112,BA_989748
train,113,PLATELET_60957
train,114,EO_125411
train,115,MY_694883
train,116,EO_903036
train,117,MMY_790179
train,118,PLATELET_982093
train,119,BNE_341487
train,120,PMY_586364
train,121,LY_92565
train,122,PMY_736213
train,123,EO_19756
train,124,MMY_242499
train,125,PLATELET_125370
train,126,ERB_865232
train,127,SNE_696497
train,128,PMY_915242
train,129,MY_204645
train,130,EO_965871
train,131,BNE_199310
train,132,PLATELET_785932
train,133,PLATELET_24104849
train,134,EO_162533
train,135,MO_616615
train,136,MY_861617
train,137,ERB_67022
train,138,PLATELET_396523
train,139,EO_277857
train,140,PLATELET_845092
train,141,EO_916091
train,142,SNE_865211
train,143,IG_438261
train,144,SNE_248746
train,145,PLATELET_108287
train,146,BNE_554685
train,147,ERB_733298
train,148,EO_386301
train,149,ERB_969523
train,150,MO_259043
train,151,PLATELET_669221
train,152,SNE_968719
train,153,BNE_975767
train,154,MMY_728989
train,155,IG_815162
train,156,ERB_483425
train,157,ERB_143620
train,158,IG_946200
train,159,BA_608126
train,160,EO_726274
train,161,PLATELET_418486
train,162,PLATELET_539788
train,163,PMY_238727
train,164,SNE_497060
train,165,BA_180990
train,166,PLATELET_243740
train,167,SNE_762327
train,168,LY_745253
train,169,BNE_404873
train,170,ERB_464584
train,171,SNE_620737
train,172,PMY_467629
train,173,EO_626837
train,174,EO_96563
train,175,ERB_354514
train,176,BA_611781
train,177,PLATELET_495918
train,178,LY_14026515
train,179,BNE_39101
train,180,SNE_131711
train,181,EO_836459
train,182,ERB_365621
train,183,BNE_671954
train,184,ERB_228522
train,185,MMY_244097
train,186,MY_165850
train,187,PLATELET_195258
train,188,ERB_215077
train,189,ERB_762169
train,190,PMY_75482
train,191,SNE_871021
train,192,BNE_174277
train,193,EO_607566
train,194,PMY_265295
train,195,PLATELET_220265
train,196,BA_925384
train,197,EO_678684
train,198,MMY_669472
train,199,MY_871007
train,200,ERB_780489
train,201,LY_819409
train,202,MO_817026
train,203,LY_478980
train,204,MO_362561
train,205,MY_408830
