split,index,image_id
train,0,normal (45)
train,1,benign (56)
train,2,benign (244)
train,3,benign (325)
train,4,malignant (163)
train,5,benign (75)
train,6,benign (197)
train,7,normal (18)
train,8,malignant (147)
train,9,normal (94)
train,10,benign (283)
train,11,benign (430)
train,12,malignant (91)
train,13,benign (165)
train,14,malignant (125)
train,15,benign (437)
train,16,benign (120)
train,17,normal (22)
train,18,benign (131)
train,19,benign (119)
train,20,benign (222)
train,21,benign (183)
train,22,malignant (49)
train,23,benign (245)
train,24,benign (416)
train,25,normal (13)
train,26,benign (93)
train,27,malignant (184)
train,28,benign (65)
train,29,benign (375)
train,30,malignant (127)
train,31,malignant (20)
train,32,malignant (201)
train,33,normal (105)
train,34,benign (129)
train,35,benign (104)
train,36,benign (1)
train,37,benign (270)
train,38,benign (167)
train,39,benign (403)
train,40,benign (38)
train,41,benign (362)
train,42,benign (306)
train,43,benign (116)
train,44,benign (58)
train,45,malignant (144)
train,46,normal (89)
train,47,benign (178)
train,48,benign (176)
train,49,malignant (22)
train,50,benign (259)
train,51,malignant (83)
train,52,malignant (156)
train,53,benign (422)
train,54,normal (60)
train,55,malignant (59)
train,56,benign (213)
train,57,benign (128)
train,58,malignant (63)
train,59,benign (295)
train,60,benign (152)
train,61,benign (95)
train,62,benign (216)
train,63,benign (280)
train,64,malignant (190)
train,65,benign (407)
train,66,malignant (48)
train,67,benign (182)
train,68,benign (49)
train,69,benign (79)
train,70,benign (52)
train,71,normal (95)
train,72,malignant (64)
train,73,benign (97)
train,74,malignant (73)
train,75,normal (131)
train,76,benign (378)
train,77,benign (293)
train,78,benign (151)
train,79,benign (296)
train,80,benign (114)
train,81,benign (274)
train,82,benign (186)
train,83,benign (302)
train,84,normal (75)
train,85,malignant (47)
train,86,benign (243)
train,87,normal (126)
train,88,benign (287)
train,89,benign (289)
train,90,benign (100)
train,91,benign (252)
train,92,benign (313)
train,93,normal (8)
train,94,benign (419)
train,95,malignant (164)
train,96,benign (102)
train,97,normal (33)
train,98,malignant (33)
train,99,malignant (61)
train,100,benign (360)
train,101,benign (428)
train,102,benign (138)
train,103,malignant (96)
train,104,benign (6)
train,105,benign (314)
